,보증금액,월세금액,관리금액,권리금,층,면적
677,2000,165,0,7500,1,39.67
678,6000,500,0,15000,1,105.79
679,2000,130,10,6000,1,49.59
681,2500,120,1,12000,1,36.36
682,1500,50,1,1800,1,6.61
683,2000,150,0,5000,2,76.03
685,2000,200,0,5000,2,36.36
686,5000,300,0,10000,1,119.01
688,5000,300,0,7000,1,6.61
689,500,50,0,2000,1,13.22
692,3000,350,50,0,1,99.0
693,1000,100,10,3000,1,33.1
694,3000,427,0,2000,1,185.12
695,3000,220,10,8000,1,99.17
696,500,50,0,2000,1,26.45
697,2000,100,5,500,1,33.06
698,3000,260,3,15000,1,56.2
699,4000,170,5,2000,1,66.12
701,4000,290,0,15000,1,33.06
702,2000,110,2,4000,1,49.59
703,2000,230,0,7000,1,52.89
705,3000,270,10,8000,1,119.01
706,1000,90,0,5000,1,26.45
707,1000,90,5,2500,1,35.0
708,1000,80,0,3000,1,33.06
709,1000,73,10,3500,1,23.1
712,5000,344,16,10000,2,72.73
714,2000,185,0,7000,1,79.34
715,2500,140,0,5500,1,23.14
716,5000,400,43,2000,2,191.74
717,1000,100,28,1500,-1,33.06
718,1000,110,0,7000,2,99.17
720,2000,150,0,4000,1,72.73
721,5000,480,30,7000,1,76.0
722,4000,250,10,2000,1,63.5
723,2000,120,5,500,1,33.06
724,3000,260,10,12000,2,56.2
726,2000,180,20,8000,-1,142.15
727,8000,400,45,5000,1,39.67
728,2500,180,0,5000,1,62.81
729,1000,95,2,10000,1,26.45
730,5000,350,10,10000,1,69.42
731,1000,75,3,3000,-1,33.0
732,5500,190,10,7000,1,49.59
733,2000,100,0,2500,2,76.03
734,1000,150,3,5000,1,19.83
735,2000,140,10,7000,1,66.12
737,1000,130,0,3000,1,56.2
738,1500,75,10,2800,1,26.45
739,2000,90,0,2500,1,33.1
741,3500,250,0,8000,1,82.03
742,2500,150,5,0,1,37.4
743,2000,200,35,2500,1,33.06
744,2000,130,5,3000,-1,39.67
745,1500,90,10,2500,1,23.1
746,3000,200,5,12000,1,66.12
747,1500,100,0,15000,-1,45.29
748,8000,750,30,0,1,155.32
749,1000,65,0,4500,1,42.98
750,3000,120,3,3000,1,76.03
751,8000,380,17,0,1,57.9
752,1000,80,0,2300,1,19.8
754,4000,138,5,6000,1,26.45
755,1000,50,4,1000,1,16.53
756,3000,270,0,5000,1,88.0
757,3500,250,20,2000,1,91.28
758,3000,140,10,5000,1,52.89
759,1000,90,5,2000,-1,59.5
761,1000,110,5,0,1,30.0
763,1000,70,8,0,1,16.0
764,8287,552,68,0,2,214.9
765,2500,220,10,0,1,93.4
766,1000,50,1,1500,1,39.67
767,2000,100,6,2000,1,49.59
768,5000,300,10,15000,1,66.12
769,1000,100,10,3500,1,26.45
770,1500,170,35,8500,1,16.53
771,3000,180,45,4000,1,33.06
772,2000,110,18,7000,1,26.45
